Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
1,0.03,0.00,0.97
2,0.04,0.00,0.99
3,0.04,-0.01,0.99
4,-0.02,-0.05,1.02
5,-0.14,-0.04,1.04
6,-0.04,0.05,1.08
7,0.17,0.03,0.85
8,0.00,-0.02,0.92
9,0.10,0.04,1.46
10,0.05,-0.02,0.50
11,-0.04,0.03,0.95
12,0.06,-0.03,1.11
13,0.04,0.01,1.12
14,0.00,0.00,0.89
15,0.11,0.01,0.76
16,0.11,-0.05,0.94
17,0.08,-0.06,1.02
18,0.07,-0.07,0.97
19,0.06,-0.05,0.97
20,-0.01,-0.01,0.98
21,0.03,-0.13,0.96
22,-0.05,0.03,0.78
23,0.03,-0.07,0.92
24,0.04,0.02,0.94
25,0.10,-0.00,1.09
26,-0.01,-0.06,0.64
27,-0.03,-0.06,0.96
28,-0.05,0.03,1.08
29,-0.02,-0.03,0.88
30,0.26,0.10,1.02
31,0.03,0.07,1.14
32,0.13,-0.04,1.01
33,-0.03,0.04,0.53
34,0.09,-0.01,1.08
35,0.04,0.01,1.00
36,0.05,0.00,1.01
37,0.05,0.05,0.99
38,-0.06,-0.03,0.93
39,0.04,0.00,0.99
40,0.05,0.00,1.00
41,0.05,0.00,0.98
42,0.04,0.00,0.99
43,0.04,0.00,0.99
44,0.05,0.01,0.99
45,0.05,0.00,0.98
46,0.04,0.00,0.99
47,0.04,0.00,0.98
48,0.04,0.00,0.98
